Sample in Buffer,Sample in Window,TRIGGER,PYNQ_Design_i/RX/system_ila_1/U0/net_slot_0_axis_tdata[15:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_0_axis_tvalid,PYNQ_Design_i/RX/system_ila_1/U0/net_slot_0_axis_tready,PYNQ_Design_i/RX/system_ila_1/U0/net_slot_0_axis_tlast,PYNQ_Design_i/RX/system_ila_1/U0/net_slot_1_axis_tdata[15:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_1_axis_tvalid,PYNQ_Design_i/RX/system_ila_1/U0/net_slot_1_axis_tready,PYNQ_Design_i/RX/system_ila_1/U0/net_slot_1_axis_tlast,PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_ar_cnt[1:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_araddr[48:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_arburst[1:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_arcache[3:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_arlen[7:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_arlock,PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_arprot[2:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_arqos[3:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_arsize[2:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_aw_cnt[1:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_awaddr[48:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_awburst[1:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_awcache[3:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_awlen[7:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_awlock,PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_awprot[2:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_awqos[3:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_awsize[2:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_b_cnt[1:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_bresp[1:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_r_cnt[1:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_rdata[127:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_wdata[127:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_wstrb[15:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_aw_ctrl[1:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_awvalid,PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_awready,PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_wvalid,PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_w_ctrl[2:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_wready,PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_wlast,PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_b_ctrl[1:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_bvalid,PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_bready,PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_ar_ctrl[1:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_arvalid,PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_arready,PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_r_ctrl[2:0],PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_rvalid,PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_rready,PYNQ_Design_i/RX/system_ila_1/U0/net_slot_2_axi_rlast,AR_Channel_(i1:s2)_(axi_smc_M00_AXI)[2:0],AW_Channel_(i1:s2)_(axi_smc_M00_AXI)[2:0],B_Channel_(i1:s2)_(axi_smc_M00_AXI)[2:0],Interface_(i1:s0)_(DUT_rec_0_m_axis1)[2:0],Interface_(i1:s1)_(usp_rf_data_converter_0_m00_axis)[2:0],Interface_(i1:s2)_(axi_smc_M00_AXI)[2:0],R_Channel_(i1:s2)_(axi_smc_M00_AXI)[2:0],T_Channel_(i1:s0)_(DUT_rec_0_m_axis1)[2:0],T_Channel_(i1:s1)_(usp_rf_data_converter_0_m00_axis)[2:0],W_Channel_(i1:s2)_(axi_smc_M00_AXI)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0000,1,0,0,22,1,0,0,0,0000000000000,"INCR",3,00,0,"Data Secure Unprivileged",0,"16 bytes",0,0000000000000,"INCR",0,00,0,"Data Secure Unprivileged",0,"1 byte",0,"EXOKAY",0,00010800000140000050810400010800,00000000000000000000000000000000,0000,2,0,1,0,2,1,0,2,0,1,2,0,1,0,0,0,0,"No Read Addr Cmds","No Write Addr Cmds","No Write Responses","_","_","Inactive","No Read Data Beats","_","_","No Write Data Beats"
1,1,0,0000,1,0,0,65512,1,0,0,0,0000000000000,"INCR",3,00,0,"Data Secure Unprivileged",0,"16 bytes",0,0000000000000,"INCR",0,00,0,"Data Secure Unprivileged",0,"1 byte",0,"EXOKAY",0,00010800000140000050810400010800,00000000000000000000000000000000,0000,2,0,1,0,2,1,0,2,0,1,2,0,1,0,0,0,0,"No Read Addr Cmds","No Write Addr Cmds","No Write Responses","_","_","Inactive","No Read Data Beats","_","_","No Write Data Beats"
2,2,0,0000,1,0,0,8,1,0,0,0,0000000000000,"INCR",3,00,0,"Data Secure Unprivileged",0,"16 bytes",0,0000000000000,"INCR",0,00,0,"Data Secure Unprivileged",0,"1 byte",0,"EXOKAY",0,00010800000140000050810400010800,00000000000000000000000000000000,0000,2,0,1,0,2,1,0,2,0,1,2,0,1,0,0,0,0,"No Read Addr Cmds","No Write Addr Cmds","No Write Responses","_","_","Inactive","No Read Data Beats","_","_","No Write Data Beats"
3,3,0,0000,1,0,0,65530,1,0,0,0,0000000000000,"INCR",3,00,0,"Data Secure Unprivileged",0,"16 bytes",0,0000000000000,"INCR",0,00,0,"Data Secure Unprivileged",0,"1 byte",0,"EXOKAY",0,00010800000140000050810400010800,00000000000000000000000000000000,0000,2,0,1,0,2,1,0,2,0,1,2,0,1,0,0,0,0,"No Read Addr Cmds","No Write Addr Cmds","No Write Responses","_","_","Inactive","No Read Data Beats","_","_","No Write Data Beats"
4,4,0,0000,1,0,0,65493,1,0,0,0,0000000000000,"INCR",3,00,0,"Data Secure Unprivileged",0,"16 bytes",0,0000000000000,"INCR",0,00,0,"Data Secure Unprivileged",0,"1 byte",0,"EXOKAY",0,00010800000140000050810400010800,00000000000000000000000000000000,0000,2,0,1,0,2,1,0,2,0,1,2,0,1,0,0,0,0,"No Read Addr Cmds","No Write Addr Cmds","No Write Responses","_","_","Inactive","No Read Data Beats","_","_","No Write Data Beats"
5,5,0,0000,1,0,0,36,1,0,0,0,0000000000000,"INCR",3,00,0,"Data Secure Unprivileged",0,"16 bytes",0,0000000000000,"INCR",0,00,0,"Data Secure Unprivileged",0,"1 byte",0,"EXOKAY",0,00010800000140000050810400010800,00000000000000000000000000000000,0000,2,0,1,0,2,1,0,2,0,1,2,0,1,0,0,0,0,"No Read Addr Cmds","No Write Addr Cmds","No Write Responses","_","_","Inactive","No Read Data Beats","_","_","No Write Data Beats"
6,6,0,0000,1,0,0,65513,1,0,0,0,0000000000000,"INCR",3,00,0,"Data Secure Unprivileged",0,"16 bytes",0,0000000000000,"INCR",0,00,0,"Data Secure Unprivileged",0,"1 byte",0,"EXOKAY",0,00010800000140000050810400010800,00000000000000000000000000000000,0000,2,0,1,0,2,1,0,2,0,1,2,0,1,0,0,0,0,"No Read Addr Cmds","No Write Addr Cmds","No Write Responses","_","_","Inactive","No Read Data Beats","_","_","No Write Data Beats"
7,7,0,0000,1,0,0,65475,1,0,0,0,0000000000000,"INCR",3,00,0,"Data Secure Unprivileged",0,"16 bytes",0,0000000000000,"INCR",0,00,0,"Data Secure Unprivileged",0,"1 byte",0,"EXOKAY",0,00010800000140000050810400010800,00000000000000000000000000000000,0000,2,0,1,0,2,1,0,2,0,1,2,0,1,0,0,0,0,"No Read Addr Cmds","No Write Addr Cmds","No Write Responses","_","_","Inactive","No Read Data Beats","_","_","No Write Data Beats"
8,8,0,0000,1,0,0,31,1,0,0,0,0000000000000,"INCR",3,00,0,"Data Secure Unprivileged",0,"16 bytes",0,0000000000000,"INCR",0,00,0,"Data Secure Unprivileged",0,"1 byte",0,"EXOKAY",0,00010800000140000050810400010800,00000000000000000000000000000000,0000,2,0,1,0,2,1,0,2,0,1,2,0,1,0,0,0,0,"No Read Addr Cmds","No Write Addr Cmds","No Write Responses","_","_","Inactive","No Read Data Beats","_","_","No Write Data Beats"
