Sample in Buffer,Sample in Window,TRIGGER,s_axis_tx_tdata[0]_1[511:496]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED
0,0,0,-15515
1,1,0,-15515
2,2,0,-15515
3,3,0,-15515
4,4,0,15587
5,5,0,-789
6,6,0,-14992
7,7,0,10194
8,8,0,8597
9,9,0,-15507
10,10,0,-15507
11,11,0,-15507
12,12,0,-15507
13,13,0,-15507
14,14,0,-15507
15,15,0,-15507
16,16,0,-15507
17,17,0,789
18,18,0,14992
19,19,0,-8218
20,20,0,15507
21,21,0,-1176
22,22,0,-14683
23,23,0,-14683
24,24,0,-14683
25,25,0,-14683
26,26,0,-14683
27,27,0,-14683
28,28,0,-14683
29,29,0,-14683
30,30,0,10381
31,31,0,8171
32,32,0,-15417
33,33,0,1558
34,34,0,14683
35,35,0,-10381
36,36,0,-10381
37,37,0,-10381
38,38,0,-10381
39,39,0,-10381
40,40,0,-10381
41,41,0,-10381
42,42,0,-10381
43,43,0,-6806
44,44,0,14914
45,45,0,-2221
46,46,0,10540
47,47,0,6806
48,48,0,-14973
49,49,0,-14973
50,50,0,-14973
51,51,0,-14973
52,52,0,-14973
53,53,0,-14973
54,54,0,-14973
55,55,0,-14973
56,56,0,2221
57,57,0,13379
58,58,0,-10703
59,59,0,-6735
60,60,0,14816
61,61,0,-2561
62,62,0,-2561
63,63,0,-2561
64,64,0,-2561
65,65,0,-2561
66,66,0,-2561
67,67,0,-2561
68,68,0,-13210
69,69,0,10591
70,70,0,6332
71,71,0,-14700
72,72,0,2890
73,73,0,13062
74,74,0,13062
75,75,0,13062
76,76,0,13062
77,77,0,13062
78,78,0,13062
79,79,0,13062
80,80,0,13062
81,81,0,-10599
82,82,0,14525
83,83,0,-2532
84,84,0,-12907
85,85,0,10843
86,86,0,12054
87,87,0,12054
88,88,0,12054
89,89,0,12054
90,90,0,12054
91,91,0,12054
92,92,0,12054
93,93,0,12054
94,94,0,-10481
95,95,0,-5297
