Sample in Buffer,Sample in Window,TRIGGER,inst_dsp_top/fraser_user_code/U0/mux_en[0:0],inst_dsp_top/fraser_user_code/U0/s_axis_tdata[0:0],inst_dsp_top/fraser_user_code/m_axis_tdata[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,UNSIGNED
0,0,0,1,1,14172
1,1,0,1,1,14172
2,2,0,1,1,14172
3,3,0,1,1,14172
4,4,0,1,1,14172
5,5,0,1,1,14172
6,6,0,1,1,58666
7,7,0,1,1,50845
8,8,0,1,1,6149
9,9,0,1,1,15130
10,10,0,1,1,60871
11,11,0,1,1,50049
12,12,0,1,1,3884
13,13,0,1,1,3884
14,14,0,1,1,3884
15,15,0,1,1,3884
16,16,0,1,1,3884
17,17,0,1,1,3884
18,18,0,1,1,3884
19,19,0,1,1,3884
20,20,0,1,1,3884
21,21,0,1,1,15679
22,22,0,1,1,63178
23,23,0,1,1,49588
24,24,0,1,1,1182
25,25,0,1,1,16050
26,26,0,1,1,65144
27,27,0,1,1,65144
28,28,0,1,1,65144
29,29,0,1,1,65144
30,30,0,1,1,65144
31,31,0,1,1,65144
32,32,0,1,1,65144
33,33,0,1,1,65144
34,34,0,1,1,49555
35,35,0,1,1,64354
36,36,0,1,1,15992
37,37,0,1,1,2346
38,38,0,1,1,49785
39,39,0,1,1,62015
40,40,0,1,1,62015
41,41,0,1,1,62015
42,42,0,1,1,62015
43,43,0,1,1,62015
44,44,0,1,1,62015
45,45,0,1,1,62015
46,46,0,1,1,62015
47,47,0,1,1,62015
48,48,0,1,1,49785
49,49,0,1,1,2332
50,50,0,1,1,15774
51,51,0,1,1,64360
52,52,0,1,1,49648
53,53,0,1,1,0
54,54,0,1,1,15967
55,55,0,1,1,15967
56,56,0,1,1,15967
57,57,0,1,1,15967
58,58,0,1,1,15967
59,59,0,1,1,15967
60,60,0,1,1,15967
61,61,0,1,1,15967
62,62,0,1,1,15967
63,63,0,1,1,1169
64,64,0,1,1,49720
65,65,0,1,1,63204
66,66,0,1,1,15587
67,67,0,1,1,3482
68,68,0,1,1,50119
69,69,0,1,1,50119
70,70,0,1,1,50119
71,71,0,1,1,50119
72,72,0,1,1,50119
73,73,0,1,1,50119
74,74,0,1,1,50119
75,75,0,1,1,50119
76,76,0,1,1,50119
77,77,0,1,1,60923
78,78,0,1,1,15091
79,79,0,1,1,5720
80,80,0,1,1,51006
81,81,0,1,1,58785
82,82,0,1,1,14104
83,83,0,1,1,7783
84,84,0,1,1,7783
85,85,0,1,1,7783
86,86,0,1,1,7783
87,87,0,1,1,7783
88,88,0,1,1,7783
89,89,0,1,1,7783
90,90,0,1,1,7783
91,91,0,1,1,7783
